,geoUnit,year,GraduationRate,Spending
412,IND,2019,28.59951019287109,51.88180160522461
413,IND,2020,31.52327919006348,57.7552604675293
414,IND,2021,25.44721031188965,56.40229034423828
415,IRL,2000,32.50154876708984,29.63924980163574
416,IRL,2001,31.66172027587891,27.09243965148926
417,IRL,2002,32.83964920043945,25.09091949462891
418,IRL,2003,36.17002868652344,22.79704093933105
419,IRL,2004,37.524658203125,22.17604064941406
420,IRL,2005,38.5435905456543,22.95195960998535
421,IRL,2006,41.03266906738281,24.71050071716309
422,IRL,2007,40.137939453125,25.42514991760254
423,IRL,2008,38.45872116088867,31.81975936889648
424,IRL,2009,37.71601867675781,36.17512893676758
425,IRL,2010,41.02703857421875,31.40864944458008
426,IRN,2004,9.944250106811523,23.37372016906738
427,IRN,2005,9.982810020446776,20.23596954345703
428,IRN,2006,10.52997970581055,25.85001945495605
429,IRN,2007,9.476980209350586,23.5958194732666
430,IRN,2008,10.43342971801758,17.24646949768066
431,IRN,2009,14.39426040649414,18.52647972106934
432,IRN,2010,17.06648063659668,15.5310697555542
433,IRN,2011,16.66204071044922,17.37443923950195
434,IRN,2012,17.73435974121094,14.07625007629395
435,IRN,2013,26.2729606628418,11.58631992340088
436,IRN,2014,24.54174995422363,12.26978969573975
437,IRN,2015,29.51823043823242,12.86581993103027
438,IRN,2016,33.98460006713867,17.8065299987793
439,IRN,2017,34.34449005126953,23.08522033691406
440,IRN,2018,34.55688858032227,23.88814926147461
441,IRN,2019,25.48613929748535,22.07035064697266
442,IRN,2020,24.37816047668457,22.97530937194824
443,ISL,2000,34.32658004760742,33.84218978881836
444,ISL,2001,40.55527877807617,33.49697875976563
445,ISL,2002,40.09500885009766,32.7294807434082
446,ISL,2003,44.05548095703125,29.20755004882813
447,ISL,2004,50.30688095092773,26.36282920837402
448,ISL,2005,56.39200973510742,27.461669921875
449,ISL,2006,62.72135925292969,24.99519920349121
450,ISL,2007,62.83602142333984,25.82147026062012
451,ISL,2008,57.58620834350586,26.45997047424316
452,ISL,2009,53.42375946044922,27.6075496673584
453,ISL,2010,65.50778198242188,26.26094055175781
454,ISL,2012,57.42132186889648,24.69063949584961
455,ISL,2018,47.04561996459961,23.60662078857422
456,ISL,2019,45.55260848999023,24.4017505645752
457,ISL,2020,45.19089889526367,25.8560791015625
458,ISL,2021,52.13690948486328,23.66028022766113
459,ISR,2000,28.48418045043945,26.77203941345215
460,ISR,2001,28.72904014587402,26.28248023986816
461,ISR,2002,29.87130928039551,22.94510078430176
462,ISR,2003,31.10540962219238,25.17287063598633
463,ISR,2004,32.30440139770508,21.41666030883789
464,ISR,2005,32.85522842407227,20.55327987670898
465,ISR,2006,33.37482833862305,20.95051956176758
466,ISR,2007,34.53131866455078,20.62920951843262
467,ISR,2008,34.46865844726563,19.49630928039551
468,ISR,2009,35.13679885864258,20.33499908447266
469,ISR,2010,37.29978942871094,19.3971004486084
470,ISR,2011,32.66954040527344,18.78993988037109
471,ISR,2012,40.31718063354492,20.69378089904785
472,ISR,2013,40.73577880859375,21.56229019165039
473,ISR,2014,42.35734176635742,20.64454078674316
474,ISR,2020,38.40671920776367,18.74053001403809
475,ISR,2021,38.38093185424805,16.5372200012207
476,ITA,2000,21.73344993591309,25.53852081298828
477,ITA,2001,24.32571983337402,23.91189956665039
478,ITA,2002,29.91230010986328,25.23344993591309
479,ITA,2003,35.6533203125,22.33746910095215
480,ITA,2004,41.12213134765625,21.54184913635254
481,ITA,2005,45.57151031494141,21.01955986022949
482,ITA,2006,44.41202163696289,22.02658081054688
483,ITA,2007,41.6426887512207,20.8530101776123
484,ITA,2008,38.21648025512695,23.48896980285645
485,ITA,2009,37.32168960571289,24.27849960327148
486,ITA,2010,35.27930068969727,24.34238052368164
487,ITA,2011,34.70697021484375,24.04046058654785
488,ITA,2012,34.46171188354492,24.3671703338623
489,ITA,2013,35.44890975952148,26.14019012451172
490,ITA,2014,36.35879135131836,26.18222999572754
491,ITA,2015,35.17446136474609,25.21649932861328
492,ITA,2016,37.55477905273438,24.24122047424316
493,ITA,2018,40.73099899291992,24.48456954956055
494,ITA,2019,41.57286834716797,23.58019065856934
495,ITA,2020,41.95726013183594,25.3720703125
496,ITA,2021,44.26744079589844,23.86899948120117
497,KAZ,2006,49.89517974853516,7.495319843292236
498,KAZ,2014,55.77206039428711,9.231940269470217
499,KAZ,2015,65.95674896240234,11.33543014526367
500,KAZ,2016,51.62992095947266,9.896479606628418
501,KAZ,2017,49.91878890991211,8.363869667053223
502,KAZ,2018,48.4738883972168,7.096560001373291
503,KAZ,2019,51.96200180053711,8.394319534301758
504,KEN,2000,1.822190046310425,204.4921264648438
505,KEN,2001,2.588449954986572,222.1331939697266
506,KGZ,2001,18.90488052368164,17.22567939758301
507,KGZ,2002,23.58927917480469,20.80126953125
508,KGZ,2003,26.98966026306152,22.34206962585449
509,KGZ,2004,31.38777923583984,22.7856502532959
510,KGZ,2005,32.46120834350586,21.89344024658203
511,KGZ,2006,30.64414978027344,22.29780006408691
512,KGZ,2007,28.01741027832031,22.63516998291016
513,KGZ,2008,23.15675926208496,19.04264068603516
514,KGZ,2009,28.16130065917969,19.63109970092773
515,KGZ,2010,30.68050956726074,18.87648963928223
516,KGZ,2012,33.93930816650391,18.43655967712402
517,KGZ,2013,34.52851104736328,17.40966033935547
518,KGZ,2014,35.83235168457031,5.585239887237549
519,KGZ,2016,35.18154907226563,4.843210220336914
520,KGZ,2017,43.74240875244141,4.897759914398193
521,KGZ,2020,28.16399955749512,4.146289825439453
522,KGZ,2021,30.19428062438965,3.18806004524231
523,KOR,2015,48.51041030883789,14.11266040802002
524,KOR,2016,50.51834869384766,14.37137031555176
525,KOR,2017,51.10848999023438,14.09819030761719
526,KOR,2019,49.70689010620117,14.15312004089355
527,KOR,2020,51.46371841430664,16.11865997314453
528,KOR,2021,55.47784042358398,16.55900001525879
529,LAO,2000,1.062780022621155,71.13141632080078
530,LAO,2001,1.888710021972656,112.3844223022461
531,LAO,2009,3.209219932556152,21.12918090820313
532,LAO,2011,6.676129817962646,18.26774978637695
533,LAO,2012,5.603340148925781,14.76504993438721
534,LAO,2013,12.28199005126953,21.87615013122559
535,LAO,2014,10.00981044769287,20.50255012512207
536,LBN,2002,15.62158012390137,22.59699058532715
537,LBN,2004,18.98715019226074,19.57531929016113
538,LBN,2005,19.45092010498047,21.32315063476563
539,LBN,2006,22.61259078979492,20.65955924987793
540,LBN,2007,23.421630859375,16.82844924926758
541,LBN,2008,22.82243919372559,14.50737953186035
542,LBN,2009,25.47532081604004,11.66767024993896
543,LBN,2010,25.59295082092285,10.83119964599609
544,LBN,2011,26.7791805267334,10.18591976165771
545,LIE,2003,13.34792041778564,24.46360969543457
546,LIE,2004,8.816710472106934,21.78628921508789
547,LIE,2006,30.62200927734375,10.21889019012451
548,LIE,2007,31.98197937011719,9.122810363769531
549,LKA,2010,6.465129852294922,18.40092086791992
550,LKA,2011,6.923289775848389,15.16816997528076
551,LKA,2013,7.381229877471924,23.45471000671387
552,LKA,2014,9.829299926757812,25.44099998474121
553,LKA,2015,10.32388019561768,26.43556976318359
554,LKA,2016,10.78837966918945,28.09259033203125
555,LKA,2017,9.678509712219238,24.4960994720459
556,LKA,2018,10.46022987365723,26.47867012023926
557,LSO,2001,1.078649997711182,780.4434814453125
558,LSO,2018,3.976639986038208,51.88571929931641
559,LTU,2001,25.13522911071777,33.86177062988281
560,LTU,2002,27.90099906921387,32.23688125610352
561,LTU,2003,33.87361145019531,19.8547306060791
562,LTU,2004,36.29344940185547,19.32406997680664
563,LTU,2005,42.02441024780273,16.87330055236816
564,LTU,2006,48.99629974365234,15.77153015136719
565,LTU,2007,48.09069061279297,15.47562026977539
566,LTU,2008,46.67242813110352,15.33915996551514
567,LTU,2009,49.14139175415039,16.07605934143066
568,LTU,2010,47.65459823608398,16.73645973205566
569,LTU,2011,48.71800994873047,18.25782012939453
570,LTU,2012,52.75938034057617,18.5139102935791
571,LTU,2013,75.53597259521484,18.59917068481445
572,LTU,2014,62.86026000976563,20.55706024169922
573,LTU,2015,58.58261871337891,18.56214904785156
574,LTU,2016,53.79956817626953,16.73858070373535
575,LTU,2017,51.18066024780273,15.71313953399658
576,LTU,2018,54.76028060913086,16.55570030212402
577,LTU,2019,58.14218139648438,17.23049926757813
578,LTU,2020,57.67182159423828,20.49465942382813
579,LTU,2021,57.79072952270508,18.47068977355957
580,LUX,2012,9.963910102844238,35.66410064697266
581,LUX,2014,9.029239654541016,39.55183029174805
582,LUX,2015,9.081660270690918,40.73102188110352
583,LUX,2018,8.537579536437988,35.40945816040039
584,LUX,2019,8.359539985656738,38.84823989868164
585,LUX,2020,8.540369987487793,39.04315948486328
586,LUX,2021,8.732850074768066,38.56151962280273
587,LVA,2000,42.08142852783203,22.25525093078613
588,LVA,2001,57.58988189697266,19.35820007324219
589,LVA,2002,51.0783805847168,18.04718017578125
590,LVA,2003,28.43803024291992,13.49643039703369
591,LVA,2004,41.00563812255859,11.52511024475098
592,LVA,2006,45.64945983886719,14.20481967926025
593,LVA,2007,43.89181137084961,14.6361198425293
594,LVA,2008,35.88113021850586,15.48945999145508
595,LVA,2009,40.44956970214844,12.25940036773682
596,LVA,2010,45.58802032470703,12.41331958770752
597,LVA,2011,44.14693832397461,16.25016021728516
598,LVA,2012,43.43986129760742,22.63936042785645
599,LVA,2013,43.83049011230469,24.82394027709961
600,LVA,2014,32.44612884521484,22.07073974609375
601,LVA,2015,34.17610168457031,23.67897987365723
602,LVA,2016,37.56911087036133,16.23880004882813
603,LVA,2017,39.7188606262207,14.69400978088379
604,LVA,2018,45.01528930664063,13.73046016693115
605,LVA,2019,46.73564147949219,15.71576976776123
606,LVA,2020,45.69374084472656,16.35453033447266
607,LVA,2021,48.99401092529297,16.84841918945313
608,MAC,2000,11.96335983276367,54.33378982543945
609,MAC,2002,15.34488964080811,25.18511009216309
610,MAC,2003,18.46684074401855,20.12154006958008
611,MAC,2004,24.75840950012207,19.09967041015625
612,MAC,2005,24.81646919250488,21.6739501953125
613,MAC,2006,30.35273933410645,19.39048004150391
614,MAC,2007,27.57394981384277,16.26077079772949
615,MAC,2008,27.26594924926758,16.75542068481445
616,MAC,2009,30.70215034484863,15.89465045928955
617,MAC,2010,39.04698944091797,23.96730041503906
618,MAC,2011,41.00624084472656,29.79821968078613
619,MAC,2012,38.28707122802734,51.07199096679688
620,MAC,2013,41.08491134643555,19.68458938598633
621,MAC,2014,46.81999969482422,17.9125804901123
622,MAC,2015,47.40594100952148,25.3316593170166
623,MAC,2016,58.60226821899414,23.86178970336914
624,MAC,2017,70.73973083496094,19.61272048950195
625,MAC,2018,51.94058990478516,20.68457984924316
626,MAC,2019,56.15464019775391,23.69243049621582
627,MAC,2020,56.5217399597168,42.79061126708984
628,MAC,2021,65.55951690673828,31.21756935119629
629,MAC,2022,72.75,33.62516021728516
630,MDA,2013,34.34011840820313,26.80331993103027
631,MDA,2014,40.36450958251953,26.77393913269043
632,MDA,2016,43.7022590637207,25.12631034851074
633,MDA,2017,41.13603973388672,24.15951919555664
634,MDA,2018,42.41165161132813,20.44622039794922
635,MDA,2019,41.69570922851563,31.97373962402344
636,MDA,2020,43.16080093383789,31.91410064697266
637,MDG,2005,1.274489998817444,139.5693054199219
638,MDG,2006,1.322550058364868,142.1254272460938
639,MDG,2007,1.380970001220703,126.4249572753906
640,MDG,2008,1.317729949951172,129.6823272705078
641,MDG,2009,1.37021005153656,134.095703125
642,MEX,2001,16.14057922363281,28.05677032470703
643,MEX,2003,15.1646900177002,37.30524826049805
644,MEX,2005,16.4212703704834,35.76216888427734
645,MEX,2006,17.84892082214355,33.75917816162109
646,MEX,2007,17.84572982788086,35.14093017578125
647,MEX,2008,17.25856971740723,35.98276901245117
648,MEX,2009,18.2668399810791,40.20803833007813
649,MEX,2010,18.48954963684082,38.07542037963867
650,MEX,2011,19.62014007568359,34.03342056274414
651,MEX,2013,21.32258987426758,34.97484970092773
652,MEX,2014,21.77461051940918,37.18563842773438
653,MEX,2015,22.45673942565918,34.60879135131836
654,MEX,2016,26.59151077270508,28.29483985900879
655,MEX,2017,27.67333030700684,24.2817497253418
656,MEX,2021,31.84551048278809,22.20590019226074
657,MHL,2019,3.725780010223389,6.256579875946045
658,MKD,2002,10.09934043884277,22.38261032104492
659,MLT,2002,20.10412979125977,46.34201049804688
660,MLT,2004,22.23308944702148,24.92243957519531
661,MLT,2009,37.61000061035156,44.15219879150391
662,MLT,2010,33.49842834472656,54.52339935302734
663,MLT,2011,31.64788055419922,38.76554870605469
664,MLT,2012,32.15942001342773,48.37575149536133
665,MLT,2013,35.97343063354492,49.42528915405273
666,MLT,2014,36.39022827148438,45.76641845703125
667,MLT,2015,35.04689025878906,42.85578155517578
668,MLT,2016,36.97478866577148,46.82630920410156
669,MLT,2017,43.14603042602539,38.32341003417969
670,MLT,2019,45.04251861572266,41.80590057373047
671,MLT,2021,53.06404113769531,39.12216949462891
672,MMR,2011,13.10741996765137,11.27476978302002
673,MNG,2002,32.87688064575195,30.80372047424316
674,MNG,2004,35.2876091003418,18.61018943786621
675,MNG,2010,46.15274047851563,5.060739994049072
676,MNG,2011,50.12530136108398,2.828140020370483
677,MNG,2012,53.87995910644531,16.3153190612793
678,MNG,2017,60.7039794921875,3.143340110778809
679,MRT,2015,3.770560026168823,70.90704345703125
680,MRT,2016,3.69350004196167,68.8733901977539
681,MRT,2019,3.714459896087646,63.38705062866211
682,MUS,2017,29.10084915161133,9.30331039428711
683,NAM,2003,4.156610012054443,95.69892120361328
684,NAM,2006,3.77347993850708,114.3588104248047
685,NER,2010,0.8686599731445312,333.1533813476563
686,NER,2016,1.788800001144409,217.3444061279297
